,0,1
67,"Beaumont High School,St. Louis,MO","{'lat': 38.6625317, 'lng': -90.2219602}"
68,"Sumner High School,St. Louis,MO","{'lat': 38.6596524, 'lng': -90.23892320000002}"
69,"Barberton High School,Barberton,OH","{'lat': 41.0257261, 'lng': -81.6079922}"
70,"Central High School,Minneapolis,MN","{'lat': 44.9489021, 'lng': -93.1484443}"
71,"Northwestern High School,St. Louis,MO","{'lat': 38.70117219999999, 'lng': -90.25557529999999}"
72,"Woodell Phillips High School,Chicago,IL","{'lat': 41.8240477, 'lng': -87.6197929}"
73,"Long Beach Polytechnic High School,Los Angeles,CA","{'lat': 33.7868045, 'lng': -118.1829363}"
74,"Fremont High School,Los Angeles,CA","{'lat': 33.9698447, 'lng': -118.2691485}"
75,"Hughes High School,Cincinnati,OH","{'lat': 39.128662, 'lng': -84.52168600000002}"
76,"Barton Elementary School,Chicago,IL","{'lat': 41.7546087, 'lng': -87.6713822}"
77,"Locke High School,Los Angeles,CA","{'lat': 33.9353785, 'lng': -118.268409}"
78,"James Madison Junior High School,Oakland,CA","{'lat': 37.7266434, 'lng': -122.179217}"
79,"Brownstown Central High School,Brownstown,IN","{'lat': 38.8859036, 'lng': -86.0457121}"
80,"St. Stephen's Parochial School,Bridgeport,CT","{'lat': 41.1602885, 'lng': -73.215892}"
81,"Church Hill High School,Rogersville,TN","{'lat': 36.5259569, 'lng': -82.7101101}"
82,"Highlands Elementary School,Orlando,FL","{'lat': 28.317647, 'lng': -81.411492}"
83,"Jefferson High School,Daly City,CA","{'lat': 37.6956653, 'lng': -122.4660072}"
84,"San Fernando High School,Los Angeles,CA","{'lat': 34.2728671, 'lng': -118.4428079}"
85,"Destrehan High School,Hahnville,LA","{'lat': 29.9651555, 'lng': -90.38308549999999}"
86,"Douglass High School,Baltimore,MD","{'lat': 39.3147394, 'lng': -76.6549423}"
87,"C. A. Brown High School,Charleston,SC","{'lat': 32.7979541, 'lng': -79.9361991}"
88,"Booker Junior High School,Little Rock,AR","{'lat': 34.7289811, 'lng': -92.26181609999999}"
89,"C. A. Brown High School,Charleston,SC","{'lat': 32.7979541, 'lng': -79.9361991}"
90,"Manual Arts High School,Los Angeles,CA","{'lat': 34.0082618, 'lng': -118.2921733}"
91,"Olean High School,Olean,NY","{'lat': 42.0825621, 'lng': -78.4345543}"
92,"Board of Cooperative Educational Services,Minola,NY","{'lat': 40.761799, 'lng': -73.368906}"
93,"St. James School,Penns Grove,NJ","{'lat': 39.726944, 'lng': -75.4722898}"
94,"Jones High School,Houston,TX","{'lat': 29.6741447, 'lng': -95.3399432}"
95,"Sumner High School,St. Louis,MO","{'lat': 38.6596524, 'lng': -90.23892320000002}"
96,"Fairmount Elementary School,Richmond,VA","{'lat': 37.54411350000001, 'lng': -77.4121468}"
97,"Patterson Cooperative High School,Dayton,OH","{'lat': 39.759123, 'lng': -84.175196}"
98,"Rock Junior High School,St. Louis,MO","{'lat': 38.62699509999999, 'lng': -90.14844269999999}"
99,"Pitcher School,Detroit,MI","{'lat': 42.4365893, 'lng': -83.2285989}"
100,"Dett Elementary School,Chicago,IL","{'lat': 41.8797104, 'lng': -87.6804568}"
101,"Central High School,St. Louis,MO","{'lat': 38.6046182, 'lng': -90.2708809}"
102,"Grant High School,Oklahoma City,OK","{'lat': 35.4154053, 'lng': -97.5447626}"
103,"Hermosa Elementary School,Artesia,NM","{'lat': 32.8272176, 'lng': -104.4035617}"
104,"Murphy High School,Atlanta,GA","{'lat': 33.7465027, 'lng': -84.33124649999999}"
105,"Orange High School,Santa Ana,CA","{'lat': 33.754031, 'lng': -117.867997}"
106,"Camelback High School,Phoenix,AZ","{'lat': 33.50538179999999, 'lng': -112.0232069}"
107,"Columbus Central High School,Columbus,OH","{'lat': 36.1468751, 'lng': -95.84083419999999}"
108,"Escambia High School,Pensacola,FL","{'lat': 30.4268169, 'lng': -87.2996598}"
109,"Murray-Wright High School,Detroit,MI","{'lat': 42.3472, 'lng': -83.08319999999999}"
110,"O. D. Wyatt High School,Fort Worth,TX","{'lat': 32.6836655, 'lng': -97.2942525}"
111,"Mark Twain School,St. Louis,MO","{'lat': 38.6165583, 'lng': -90.34347559999999}"
112,"Palm Beach Gardens High School,West Palm Beach,FL","{'lat': 26.825103, 'lng': -80.101136}"
113,"Mt. Savage High School,Cumberland,MD","{'lat': 39.700877, 'lng': -78.8802608}"
114,"Guildord County School Bus,Greensboro,NC","{'lat': 36.0829257, 'lng': -79.7404013}"
115,"Burt Elementary School,Detroit,MI","{'lat': 42.3922938, 'lng': -83.24639839999999}"
116,"Fremont School,St. Louis,MO","{'lat': 38.6006072, 'lng': -90.21900099999999}"
117,"Old Main Eisenhower High School,Blue Island,IL","{'lat': 41.6616695, 'lng': -87.69595389999999}"
118,"Fenger High School,Chicago,IL","{'lat': 41.6897069, 'lng': -87.63784}"
119,"Horace Mann Junior High School,Amarillo,TX","{'lat': 35.218386, 'lng': -101.8287968}"
120,"Roosevelt High School,St. Louis,MO","{'lat': 38.6002121, 'lng': -90.2368527}"
121,"Collinsville High School,Edwardsville,IL","{'lat': 38.64698, 'lng': -90.01134300000001}"
122,"Parochial School,Hamburg,NY","{'lat': 42.7164618, 'lng': -78.8265845}"
123,"Whitharral High School,Whitharral,TX","{'lat': 33.7378829, 'lng': -102.3266243}"
124,"Pioneer Christian Academy,Nashville,TN","{'lat': 36.296088, 'lng': -86.773883}"
125,"Stone Middle School,Cocoa,FL","{'lat': 28.0630446, 'lng': -80.603477}"
126,"Holy Trinity High School,Chicago,IL","{'lat': 41.9032469, 'lng': -87.6639604}"
127,"South Junior High School,Colorado Springs,CO","{'lat': 38.7633822, 'lng': -104.747488}"
128,"Vashon High School,St. Louis,MO","{'lat': 38.6480243, 'lng': -90.2210954}"
129,"Hazelwood Central Senior High School,St. Louis,MO","{'lat': 38.8301158, 'lng': -90.31588339999999}"
130,"Petaluma McNear Elementary,Santa Rosa,CA","{'lat': 38.2231456, 'lng': -122.6365764}"
131,"West Orange High School,Winter Garden,FL","{'lat': 28.5406621, 'lng': -81.56842750000001}"
132,"Blue Hills Vocational High School,Canton,MA","{'lat': 42.1834614, 'lng': -71.1032982}"
133,"Christian County Middle School,Hopkinsville,KY","{'lat': 36.8765176, 'lng': -87.4914568}"
134,"Hayes Junior High School,St. Albans,WV","{'lat': 38.3732171, 'lng': -81.8419885}"
135,"Everett High School,Lansing,MI","{'lat': 42.6931191, 'lng': -84.55677899999999}"
136,"Monroe Elementary School,Santa Rosa,CA","{'lat': 38.456273, 'lng': -122.752481}"
137,"Gallatin Junior High School,Nashville,TN","{'lat': 36.1003364, 'lng': -86.7344426}"
138,"Fordson High School,Detroit,MI","{'lat': 42.3306114, 'lng': -83.1787564}"
139,"Paul Dunbar Elementary School,Dallas,TX","{'lat': 32.7749288, 'lng': -96.7493497}"
140,"Ridgewood High School,Norridge,IL","{'lat': 41.9613366, 'lng': -87.8151834}"
141,"Murchison Junior High School,Austin,TX","{'lat': 30.3540274, 'lng': -97.7586065}"
142,"Downtown Junior High School,Philadelphia,PA","{'lat': 39.9578906, 'lng': -75.2385149}"
143,"Dover Air High,Dover,DE","{'lat': 39.1178501, 'lng': -75.48801}"
144,"Weymouth South High School,Weymouth,MA","{'lat': 42.182334, 'lng': -70.94324499999999}"
145,"Lanett Junior High School,Lanett,AL","{'lat': 32.8565288, 'lng': -85.1970425}"
146,"University City High School,University City,MO","{'lat': 38.66508779999999, 'lng': -90.3293029}"
147,"Park West High School,New York,NY","{'lat': 40.7653291, 'lng': -73.9930871}"
148,"Wilbur Cross High School,New Haven,CT","{'lat': 41.3239572, 'lng': -72.90760709999999}"
149,"Grover Cleveland Elementary School,San Diego,CA","{'lat': 32.7970777, 'lng': -117.0113626}"
150,"McArthur High School North,Miami,FL","{'lat': 26.0122991, 'lng': -80.21739}"
151,"Los Angeles High School,Los Angeles,CA","{'lat': 34.0554228, 'lng': -118.3329959}"
152,"Wisconsin Lutheran High School,Milwaukee,WI","{'lat': 43.0337278, 'lng': -88.0163883}"
153,"Martin L. Mattei Junior High School,Hughestown,PA","{'lat': 41.33292480000001, 'lng': -75.7794809}"
154,"Azle Junior High School,Azle,TX","{'lat': 32.89249, 'lng': -97.52997789999999}"
155,"New Carlisle Elementary School,New Carlisle,OH","{'lat': 39.949418, 'lng': -84.03342400000001}"
156,"Carter G. Woodson Middle School,New Orleans,LA","{'lat': 29.9396352, 'lng': -90.09104839999999}"
157,"Charlestown High School,Charlestown,MA","{'lat': 42.3804138, 'lng': -71.06095909999999}"
158,"O'Fallen Technical High School,St. Louis,MO","{'lat': 38.6214499, 'lng': -90.26977529999999}"
159,"Washington High School,Indianapolis,IN","{'lat': 39.7655047, 'lng': -86.1991647}"
160,"Not listed,Lewisville,TX","{'lat': 33.046233, 'lng': -96.994174}"
161,"Eastern High School,Baltimore,MD","{'lat': 39.3163674, 'lng': -76.5896443}"
162,"Blewett Middle School,St. Louis,MO","{'lat': 38.6434234, 'lng': -90.20372189999999}"
163,"Stamps High School,Stamps,AR","{'lat': 33.3698711, 'lng': -93.4810849}"
164,"Lafayette High School,Williamsburg,VA","{'lat': 37.3157667, 'lng': -76.7639812}"
165,"Langdon Elementary School,Washington, DC,DC","{'lat': 38.924521, 'lng': -76.977459}"
166,"Valley View Elementary School,Longview,TX","{'lat': 32.509714, 'lng': -94.716943}"
167,"Arsenal Technical High School,Indianapolis,IN","{'lat': 39.7773318, 'lng': -86.1327721}"
168,"Hughes School,McComb,MS","{'lat': 31.2504946, 'lng': -90.46317409999999}"
169,"J. Leslie Patton School,Dallas,TX","{'lat': 32.7043182, 'lng': -96.82309049999999}"
170,"Frederick Douglass Senior High School,Baltimore,MD","{'lat': 39.3147394, 'lng': -76.6549423}"
171,"Capeville Elementary School,Capeville,VA","{'lat': 37.1995849, 'lng': -75.9585417}"
172,"Clara Barton High School,Brooklyn,NY","{'lat': 40.6695301, 'lng': -73.9618677}"
173,"Whittier High School,Los Angeles,CA","{'lat': 33.98102280000001, 'lng': -118.0447992}"
174,"Forrest HIgh School,Jacksonville,FL","{'lat': 30.2464887, 'lng': -81.76572019999999}"
175,"Springarn High School,Washington,DC","{'lat': 38.8994175, 'lng': -76.9706681}"
176,"John S. Shaw High School,Mobile,AL","{'lat': 30.7174109, 'lng': -88.1837833}"
177,"Bridgeport Central High School,Bridgeport,CT","{'lat': 41.1889732, 'lng': -73.20548769999999}"
178,"Central High School,Tuscaloosa,AL","{'lat': 33.1981643, 'lng': -87.5490995}"
179,"Hueytown High School,Hueytown,AL","{'lat': 33.43043, 'lng': -87.033017}"
180,"Eastern Hills High School,Fort Worth,TX","{'lat': 32.7480228, 'lng': -97.2327569}"
181,"Longfellow Junior HIgh School,Lorain,OH","{'lat': 41.4740474, 'lng': -82.154833}"
182,"Parker High School,Birmingham,AL","{'lat': 33.5151756, 'lng': -86.8296064}"
183,"Willetts Middle School,Brunswick,OH","{'lat': 41.246831, 'lng': -81.8204183}"
184,"Francis M. Wood Senior High School,Baltimore,MD","{'lat': 39.2919102, 'lng': -76.6343826}"
185,"Manuel Arts High School,Los Angeles,CA","{'lat': 34.0082618, 'lng': -118.2921733}"
186,"Little Rock Hall High School,Little Rock,AR","{'lat': 34.7605212, 'lng': -92.3474361}"
187,"Marshall High School ,Indianapolis,IN","{'lat': 39.8251187, 'lng': -85.9895105}"
188,"Dillard High School,Fort Lauderdale,FL","{'lat': 26.1396503, 'lng': -80.1759107}"
189,"Alexander Hamilton Junior High School,Cleveland,OH","{'lat': 41.464486, 'lng': -81.591247}"
190,"Poplarville High School,Poplarville,MS","{'lat': 30.8321598, 'lng': -89.5252857}"
191,"New Iberia Junior HIgh School,New Iberia,LA","{'lat': 30.0093179, 'lng': -91.8377423}"
192,"Stuart Middle School,West Palm Beach,FL","{'lat': 27.1960073, 'lng': -80.2455621}"
193,"William Longstreth Elementary School,Philadelphia,PA","{'lat': 39.94060109999999, 'lng': -75.23246189999999}"
194,"Hobbs High School,Santa Fe,NM","{'lat': 32.7094027, 'lng': -103.1218759}"
195,"Aberdeen High School,Aberdeen,MD","{'lat': 39.5163227, 'lng': -76.1711603}"
196,"Hartford Public High School,Hartford,CT","{'lat': 41.7652258, 'lng': -72.7010105}"
197,"George W. Wingate High School,Brooklyn,NY","{'lat': 40.659109, 'lng': -73.9430868}"
198,"Unnamed school,Houston,TX","{'lat': 29.7273577, 'lng': -95.39078049999999}"
199,"James Madison High School,Brooklyn,NY","{'lat': 40.6101298, 'lng': -73.947968}"
200,"Hamilton High School,Memphis,TN","{'lat': 35.0999995, 'lng': -90.0167743}"
201,"Dorchester High School,Dorchester,MA","{'lat': 42.285317, 'lng': -71.075862}"
202,"John McDonough Senior High,New Orleans,LA","{'lat': 29.9743098, 'lng': -90.0765232}"
203,"Springfield High School,Springfield,OR","{'lat': 44.0535256, 'lng': -123.0158084}"
204,"Lorain High School,Lorain,OH","{'lat': 41.4465496, 'lng': -82.1904797}"
205,"Valley High School,Las Vegas,NV","{'lat': 36.13815470000001, 'lng': -115.1210027}"
206,"Deer Creek Junior High School,Littleton,CO","{'lat': 39.5867127, 'lng': -105.1019619}"
207,"Forest Park Senior High School,Baltimore,MD","{'lat': 39.3325577, 'lng': -76.6894252}"
208,"Russell High School,East Point,GA","{'lat': 33.6846189, 'lng': -84.4363099}"
209,"Anniston High School,Anniston,FL","{'lat': 33.6609605, 'lng': -85.8201258}"
210,"Garside Junior High School,Las Vegas,NV","{'lat': 36.16978170000001, 'lng': -115.2341179}"
211,"Lake Braddock Secondary School,Burke,VA","{'lat': 38.803391, 'lng': -77.26517199999999}"
212,"South West Middle School,Pine Bluff,AR","{'lat': 34.1897458, 'lng': -92.06543169999999}"
213,"Elmont Memorial High School,Elmont,NY","{'lat': 40.696994, 'lng': -73.71790419999999}"
214,"Cooley High School,Detroit,MI","{'lat': 42.400462, 'lng': -83.191217}"
215,"Wingfield High School,Jackson,MS","{'lat': 32.2803997, 'lng': -90.2417644}"
216,"Huntsville High School,Huntsville,AL","{'lat': 34.7138634, 'lng': -86.5835201}"
217,"Finney High School,Detroit,MI","{'lat': 42.390245, 'lng': -82.95343249999999}"
218,"John H. Reagan High School,Houston,TX","{'lat': 29.7954163, 'lng': -95.3930864}"
219,"Parkway South Middle School,Baldwin,MO","{'lat': 38.6101605, 'lng': -90.5074545}"
220,"William H. Lemmel Middle School,Baltimore,MD","{'lat': 39.3188328, 'lng': -76.66443749999999}"
221,"West Ward School,Coleman,TX","{'lat': 31.8315345, 'lng': -99.43312019999999}"
222,"DeLand High School,DeLand,FL","{'lat': 29.0412243, 'lng': -81.28400250000001}"
223,"Riverdale High School,Murfreesboro,TN","{'lat': 35.81539, 'lng': -86.410169}"
224,"Albuquerque High School,Alburquerque,NM","{'lat': 35.096572, 'lng': -106.6356697}"
225,"Santa Maria InCornata-Santa Lucia School,Chicago,IL","{'lat': 41.8390596, 'lng': -87.63323079999999}"
226,"Beaumont High School,St. Louis,MO","{'lat': 38.6625317, 'lng': -90.2219602}"
227,"Lake Highland High School,Dallas,TX","{'lat': 32.8878008, 'lng': -96.7268213}"
228,"Brentwood High School,New York,NY","{'lat': 40.7736168, 'lng': -73.2550238}"
229,"North Miami Senior High School,Miami,FL","{'lat': 25.8969252, 'lng': -80.184148}"
230,"Mansfield Senior High School,Mansfield,OH","{'lat': 40.7623161, 'lng': -82.5433523}"
231,"Greater Johnstown High School,Johnstown,PA","{'lat': 40.3031728, 'lng': -78.9097287}"
232,"Henry Ford High School,Detroit,MI","{'lat': 42.4396448, 'lng': -83.2376357}"
233,"Manuel Dominguez High School,Compton,CA","{'lat': 33.892444, 'lng': -118.1817663}"
234,"Walbrook High School,Baltimore,MD","{'lat': 39.309954, 'lng': -76.677904}"
235,"Coleman Junior High School,Greenville,MS","{'lat': 33.4077355, 'lng': -91.03855659999999}"
236,"Temple High School,Temple,TX","{'lat': 31.1062802, 'lng': -97.353633}"
237,"Compton High School,Los Angeles,CA","{'lat': 33.8903235, 'lng': -118.22723}"
238,"Carver Vocational-Technical Senior High,Baltimore,MD","{'lat': 39.3044007, 'lng': -76.6526347}"
239,"Highland Park High School,Highland Park,MI","{'lat': 42.1926682, 'lng': -87.8013556}"
240,"James G. Blaine Elementary School,Chicago,IL","{'lat': 41.9509619, 'lng': -87.664931}"
241,"Harlem Park Junior High School,Baltimore,MD","{'lat': 39.2987111, 'lng': -76.6411846}"
242,"Crawfordsville High School,Crawfordsville,IN","{'lat': 40.0209269, 'lng': -86.90744409999999}"
243,"Boylan Central Catholic High School,Rockford,IL","{'lat': 42.319951, 'lng': -89.084096}"
244,"Lake Clifton Senior HIgh School,Baltimore,MD","{'lat': 39.3163674, 'lng': -76.5896443}"
245,"Central High School,Louisville,KY","{'lat': 38.2502019, 'lng': -85.7707066}"
246,"Sharpstown High School,Houston,TX","{'lat': 29.6834509, 'lng': -95.5166998}"
247,"49th Street Elementary School,Los Angeles,CA","{'lat': 33.9985521, 'lng': -118.2617955}"
248,"Clinton High School,Clinton,LA","{'lat': 30.8626807, 'lng': -91.0137148}"
249,"Precious Blood School,Detroit,MI","{'lat': 42.4136067, 'lng': -83.1775163}"
250,"Rose Hill Magnolia Elementary School,Wallace,NC","{'lat': 34.85104, 'lng': -78.024087}"
251,"C.M. Russell High School,Great Falls,MT","{'lat': 47.52026859999999, 'lng': -111.3192554}"
252,"Southeast Polk High School,Pleasant Hill,IA","{'lat': 41.5982043, 'lng': -93.44592469999999}"
253,"Booker T. Washington High School,Houston,TX","{'lat': 29.8218559, 'lng': -95.3988651}"
254,"Norco High School,Norco,CA","{'lat': 33.91183240000001, 'lng': -117.5466912}"
255,"Cleveland Heights High School,Cleveland Heights,OH","{'lat': 41.502201, 'lng': -81.56294799999999}"
256,"Mumford High School,Detroit,MI","{'lat': 42.4213221, 'lng': -83.1646032}"
257,"Booker T. Washington High School,Shreveport,LA","{'lat': 32.5040265, 'lng': -93.774143}"
258,"Richland High School,North Richland Hills,TX","{'lat': 32.8423902, 'lng': -97.2301196}"
259,"Millsap Elementary School,Houston,TX","{'lat': 29.9545572, 'lng': -95.62994119999999}"
260,"Wyoming Area High School,Exeter,PA","{'lat': 41.3223636, 'lng': -75.8112451}"
261,"Central High School,Detroit,MI","{'lat': 42.38358909999999, 'lng': -83.11178269999999}"
262,"Southeastern High School,Detroit,MI","{'lat': 42.3749097, 'lng': -82.9784229}"
263,"West Elementary School Bus,Celina,OH","{'lat': 40.54665749999999, 'lng': -84.58839379999999}"
264,"Pendleton High School,Pendleton,SC","{'lat': 34.6123586, 'lng': -82.7839597}"
265,"East Ascension High School,Gonzales,LA","{'lat': 30.2282633, 'lng': -90.9150301}"
266,"Millford Mill High School,Rockdale,MD","{'lat': 39.3570339, 'lng': -76.7497051}"
267,"Edwardsville High School,St. Louis,MO","{'lat': 38.78875499999999, 'lng': -89.97524899999999}"
268,"Arlington High School,Arlington,TX","{'lat': 32.72078510000001, 'lng': -97.1167816}"
269,"Goddard Junior High School,Goddard,KS","{'lat': 37.6545214, 'lng': -97.5769722}"
270,"St. Gregory's High School,Boston,MA","{'lat': 42.274377, 'lng': -71.0671306}"
271,"A.I. Prince Technical High School,Hartford,CT","{'lat': 41.7416983, 'lng': -72.7057918}"
272,"MacArthur Senior High School,Aldine,TX","{'lat': 29.9010829, 'lng': -95.3288719}"
273,"Parrott Junior High School,Brookville,FL","{'lat': 28.5911296, 'lng': -82.413705}"
274,"Highland Park High School,Highland Park,TX","{'lat': 32.8473091, 'lng': -96.8074692}"
275,"East End Middle School (bus),Richmond,VA","{'lat': 37.5421433, 'lng': -77.41993099999999}"
276,"Wheatley High School,Houston,TX","{'lat': 29.7717292, 'lng': -95.31988989999999}"
277,"Langham Creek High School,Cypress,TX","{'lat': 29.881309, 'lng': -95.677185}"
278,"Trotwood-Madison Senior High,Trotwood,OH","{'lat': 39.8096368, 'lng': -84.31018979999999}"
279,"Lake Clifton High School,Baltimore,MD","{'lat': 39.3163674, 'lng': -76.5896443}"
280,"Murray-Wright High School,Detroit,MI","{'lat': 42.3472, 'lng': -83.08319999999999}"
281,"Southern Hills Joint Vocational High School,Georgetown,OH","{'lat': 38.88955929999999, 'lng': -83.8911959}"
282,"Spanaway Junior High School,Spanaway,WA","{'lat': 47.1150727, 'lng': -122.4277165}"
283,"Chelsea School,Birmingham,AL","{'lat': 33.3340545, 'lng': -86.6803613}"
284,"Concord High School,Concord,NH","{'lat': 43.2004366, 'lng': -71.551175}"
285,"Archbishop Ryan High School for boys,Philadelphia,PA","{'lat': 40.0851766, 'lng': -74.9865832}"
286,"Portland Junior High School,Portland,CT","{'lat': 41.5803957, 'lng': -72.62245759999999}"
287,"Northern High School,Durham,NC","{'lat': 36.093821, 'lng': -78.9118029}"
288,"Vanguard Junior High School,Los Angeles,CA","{'lat': 33.9111229, 'lng': -118.2708316}"
289,"Lake Clifton High School,Baltimore,MD","{'lat': 39.3163674, 'lng': -76.5896443}"
290,"Boyet Junior High School,Slidell,LA","{'lat': 30.29182, 'lng': -89.73791}"
291,"Thornridge High School,Dolton,IL","{'lat': 41.6209271, 'lng': -87.5986872}"
292,"Charles Drew Middle School,Miami,FL","{'lat': 25.8303507, 'lng': -80.2275057}"
293,"Senath-Hornersville High School,Senath,MO","{'lat': 36.1269661, 'lng': -90.16150239999999}"
294,"Pine Forest High School,Fayetteville,NC","{'lat': 35.1547493, 'lng': -78.88646}"
